name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
CNTRCT_PBP_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO IDENTIFY A VERSION OF A CONTRACT.,,
CNTRCT_PBP_SGMT_NUM,VARCHAR(3),COLUMN,N,,N,N,,,IDENTIFICATION NUMBER FOR A PORTION OF THE PBP DESIGNATED AS A SEGMENT.  MUST BE PRESENT.,,
META_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_SRC_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
